GEO,SEX,AGE,UNIT,ISCED11\TIME	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
European Union (28 countries),Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	65.9	66.5	67.1	67.8	68.5	69.2	70.3	71.2	72.1	72.5
European Union (27 countries),Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	65.9	66.4	67.1	67.8	68.4	69.2	70.2	71.1	72.0	72.4
European Union (15 countries),Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	63.4	63.8	64.5	65.2	65.8	66.7	67.8	68.7	69.8	70.4
Euro area (19 countries),Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	62.1	62.6	63.4	64.2	64.7	65.4	66.7	67.5	68.6	69.1
Euro area (18 countries),Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	61.9	62.4	63.2	64.0	64.5	65.2	66.5	67.3	68.4	69.0
Euro area (17 countries),Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	61.8	62.3	63.1	63.9	64.4	65.1	66.4	67.2	68.4	68.9
Belgium,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	63.7	64.3	65.2	66.4	67.6	67.4	68.1	68.6	69.6	70.5
Bulgaria,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	66.6	69.4	71.3	71.7	72.4	74.1	76.0	77.0	77.9	77.4
Czech Republic,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	83.2	83.6	83.8	84.2	84.8	85.6	86.1	86.6	87.1	87.6
Denmark,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	74.3	74.6	67.7	67.1	67.8	68.2	69.3	70.2	70.5	71.8
Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	75.2	75.4	76.5	77.7	78.0	78.6	81.9	82.1	82.3	80.3
Estonia,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	80.1	79.4	80.0	79.6	80.8	81.8	82.3	83.2	84.2	84.9
Ireland,Total,From 15 to 64 years,Percentage,Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)	63.5	64.8	65.9	67.6	68.5	69.5	70.3	71.2	72.8	74.4
