GEO,SEX,AGE,UNIT,ISCED11\TIME	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
European Union (28 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	19.6	20.0	20.5	21.2	22.0	22.8	23.7	24.6	25.4	26.0
European Union (27 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	19.7	20.1	20.6	21.3	22.1	22.8	23.8	24.7	25.5	26.0
European Union (15 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	21.4	21.8	22.3	22.9	23.6	24.3	25.2	26.1	26.9	27.3
Euro area (19 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	20.1	20.3	20.8	21.5	22.1	22.6	23.5	24.2	25.0	25.3
Euro area (18 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	20.1	20.3	20.8	21.5	22.1	22.6	23.4	24.2	24.9	25.2
Euro area (17 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	20.1	20.3	20.8	21.5	22.1	22.6	23.4	24.2	24.9	25.2
Belgium,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	27.2	27.9	28.1	28.4	29.4	30.7	30.4	31.3	31.5	32.6
Bulgaria,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	17.8	18.2	18.5	18.9	19.2	19.4	20.1	20.7	22.2	23.6
Czech Republic,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	11.0	11.4	11.6	12.4	13.4	14.5	15.8	17.0	18.1	19.1
Denmark,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	28.5	29.3	26.0	26.3	26.9	27.5	27.9	28.6	29.1	29.8
Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	20.6	20.1	20.4	21.4	22.3	22.6	24.3	24.9	25.2	23.2
Estonia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	27.7	27.4	27.5	28.3	30.2	30.0	31.3	32.1	32.3	32.6
Ireland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	26.1	27.7	28.9	30.3	31.4	32.7	33.3	34.7	36.3	35.8
Greece,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8)	17.6	18.7	19.1	19.8	19.9	20.9	22.2	22.9	24.0	24.6
